name,email,phone,bio_url,img_url,city,state,population,city_site_url,next_election
Ethan Berkowitz,mayor@muni.org,907-343-7100,http://www.muni.org/departments/mayor/pages/default.aspx,https://i1.wp.com/secure.usmayors.org/mayorphotos/Berkowitz_Ethan!28.jpg?w=1100&ssl=1,Anchorage,AK, 291538,http://www.muni.org,2021-04-06
Beth Weldon,mayor@ci.juneau.ak.us,907-586-5240,https://beta.juneau.org/assembly/assembly-members-single-entry/entry/4701/?gvid=6961,https://i1.wp.com/secure.usmayors.org/mayorphotos/Weldon_Beth!54426.jpg?w=1100&ssl=1,Juneau,AK, 32113,http://www.juneau.org,2021-10-05
Jim Matherly,mayor@fairbanks.us,907-459-6793,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Matherly_Jim!53134.jpg?w=1100&ssl=1,Fairbanks,AK, 31516,http://www.fairbanksalaska.us,2022-10-01
Randall Woodfin,randall.woodfin@birminghamal.gov,205-254-2277,https://www.birminghamal.gov/about/mayors-office/,https://i0.wp.com/secure.usmayors.org/mayorphotos/0036100001IZyj3AAD.jpg?w=1100&ssl=1,Birmingham,AL, 209880,http://www.informationbirmingham.com,2021-08-24
Steven Reed,steven.reed@montgomeryal.gov,334-625-2000,https://www.montgomeryal.gov/city-government/mayor-s-office/mayor-steven-reed,https://i2.wp.com/secure.usmayors.org/mayorphotos/0034N00002AA1IQ.jpg?w=1100&ssl=1,Montgomery,AL, 198218,http://www.montgomeryal.gov,2023-08-22
Tommy Battle,tommy.battle@hsvcity.com,256-427-5000,http://www.huntsvilleal.gov/mayor/,https://i0.wp.com/secure.usmayors.org/mayorphotos/Battle_Tommy!537.jpg?w=1100&ssl=1,Huntsville,AL, 197318,http://www.hsvcity.com,2024-08-27
William 'Sandy' S. Stimpson,mayorstimpson@cityofmobile.org,251-208-7395,https://www.cityofmobile.org/government/mayor/,https://i1.wp.com/secure.usmayors.org/mayorphotos/Stimpson_Sandy!759.jpg?w=1100&ssl=1,Mobile,AL, 189572,http://www.cityofmobile.org,2021-08-24
Walter Maddox,mayor@tuscaloosa.com,205-248-5001,http://www.tuscaloosa.com/Government/Mayor/Mayor-Walter-Maddox,https://i1.wp.com/secure.usmayors.org/mayorphotos/Maddox_Walter!1184.jpg?w=1100&ssl=1,Tuscaloosa,AL, 101113,http://www.tuscaloosa.com,2021-03-09
Frank V. Brocato,mayorsoffice@ci.hoover.al.us,205-444-7510,,https://i0.wp.com/secure.usmayors.org/mayorphotos/Brocato_Frank!53130.jpg?w=1100&ssl=1,Hoover,AL, 85108,http://www.hooveral.org,2024-08-27
Mark Saliba,mayor@dothan.org,334-615-3110,https://www.dothan.org/89/Mayors-Office#:~:text=Mayor%20Mark%20Saliba,https://i1.wp.com/secure.usmayors.org/mayorphotos/Saliba_Mark!53924.jpg?w=1100&ssl=1,Dothan,AL, 68247,http://www.dothan.org,2021-08-24
Ron Anders Jr.,randers@auburnalabama.org,334-703-9000,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Anders_Ron!54436.jpg?w=1100&ssl=1,Auburn,AL, 65738,http://www.auburnalabama.org,2022-08-25
Tab Bowling,tbowling@decatur-al.gov,256-341-4504,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Bowling_Tab!53128.jpg?w=1100&ssl=1,Decatur,AL, 54264,http://www.decaturalabamausa.com,2020-08-25
Paul Finley,mayors.office@madisonal.gov,256-772-5600,,https://i2.wp.com/secure.usmayors.org/mayorphotos/Finley_Paul!53136.jpg?w=1100&ssl=1,Madison,AL, 50440,http://www.madisonal.gov,2024-08-27
Steve Holt,sholt@florenceal.org,256-760-6400,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Holt_Steve!53129.jpg?w=1100&ssl=1,Florence,AL, 40428,http://www.florenceal.org,2020-08-25
Eddie N. Lowe,elowe@phenixcityal.us,334-448-2701,,https://i1.wp.com/secure.usmayors.org/mayorphotos/Lowe_Eddie!2583.jpg?w=1100&ssl=1,Phenix City,AL, 36435,http://www.phenixcityal.us,2024-08-27
William 'Bill' W. Gillespie Jr.,mayor@prattvilleal.gov,334-361-3609,http://www.prattvilleal.gov/mayors-biography.html,https://i2.wp.com/secure.usmayors.org/mayorphotos/Gillespie_Bill!2619.jpg?w=1100&ssl=1,Prattville,AL, 35662,http://www.prattvilleal.gov,2024-08-27
Sherman Guyton,sguyton@cityofgadsden.com,256-549-4500,http://www.cityofgadsden.com/index.aspx?nid=127,https://i0.wp.com/secure.usmayors.org/mayorphotos/Guyton_Sherman!423.JPG?w=1100&ssl=1,Gadsden,AL, 35157,http://www.cityofgadsden.com,2022-08-25
Ashley C. Curry,acurry@vhal.org,205-978-0130,https://vhal.org/government/city-leadership-2/mayor-council-bios/,https://i2.wp.com/secure.usmayors.org/mayorphotos/Curry_Ashley!53137.jpg?w=1100&ssl=1,Vestavia Hills,AL, 34461,http://vhal.org,2024-08-27
Marty Handlon,handlon@cityofalabaster.com,205-664-6804,http://www.cityofalabaster.com/Directory.aspx?EID=5,https://i1.wp.com/secure.usmayors.org/mayorphotos/Handlon_Marty!1342.jpg?w=1100&ssl=1,Alabaster,AL, 33340,http://www.cityofalabaster.com,2020-08-25
Gary Fuller,gfuller@opelika-al.gov,334-705-5150,https://www.opelika-al.gov/207/Mayor-Gary-Fullers-Biography,https://i1.wp.com/secure.usmayors.org/mayorphotos/0034N00002lFuR0.jpg?w=1100&ssl=1,Opelika,AL, 30555,https://www.opelika-al.gov,2024-08-27
